Node Type,Relation Name,Plan Rows,Actual Rows,Join Index,Query Name,Startup Cost,Total Cost,Actual Startup Time,Actual Total Time,outer_rel,inner_rel,outer_est,inner_est,outer_act,inner_act
Bitmap Heap Scan,movie_keyword,303,41840,,./JOB-queries/2b.sql,6.78,1117.89,7.639,1288.474,,,303.0,,41840.0,
Nested Loop,,34,41840,1.0,./JOB-queries/2b.sql,6.78,3747.04,9.343,1307.281,keyword,movie_keyword,1.0,303.0,1.0,41840.0
Index Scan,movie_companies,5,4,,./JOB-queries/2b.sql,0.43,0.54,0.022,0.033,,,,,,
Nested Loop,,167,148552,2.0,./JOB-queries/2b.sql,7.21,3767.05,9.578,2684.418,,movie_companies,34.0,5.0,41840.0,4.0
Index Scan,company_name,1,0,,./JOB-queries/2b.sql,0.42,0.45,0.002,0.002,,,,,,
Nested Loop,,2,5228,3.0,./JOB-queries/2b.sql,7.63,3841.53,17.272,2959.223,,company_name,167.0,1.0,148552.0,0.0
Index Scan,title,1,1,,./JOB-queries/2b.sql,0.43,0.49,0.128,0.128,,,,,,
Nested Loop,,2,5228,4.0,./JOB-queries/2b.sql,8.06,3842.53,17.528,3628.15,,title,2.0,1.0,5228.0,1.0
Aggregate,,1,1,,./JOB-queries/2b.sql,3842.53,3842.54,3631.31,3631.312,,,2.0,,5228.0,
Seq Scan,keyword,1,1,,./JOB-queries/32a.sql,0.0,2626.12,5.86,5.976,,,,,,
Bitmap Index Scan,,303,1,,./JOB-queries/32a.sql,0.0,6.71,0.158,0.158,,,,,,
Bitmap Heap Scan,movie_keyword,303,1,,./JOB-queries/32a.sql,6.78,1117.89,0.163,0.163,,,303.0,,1.0,
Nested Loop,,34,1,1.0,./JOB-queries/32a.sql,6.78,3747.04,6.026,6.142,keyword,movie_keyword,1.0,303.0,1.0,1.0
Index Scan,movie_link,5,0,,./JOB-queries/32a.sql,0.29,0.38,0.002,0.002,,,,,,
Nested Loop,,10,0,2.0,./JOB-queries/32a.sql,7.07,3761.5,6.144,6.145,,movie_link,34.0,5.0,1.0,0.0
Seq Scan,link_type,18,0,,./JOB-queries/32a.sql,0.0,1.18,0.0,0.0,,,,,,
Materialize,,18,0,,./JOB-queries/32a.sql,0.0,1.27,0.0,0.0,link_type,,18.0,,0.0,
Nested Loop,,10,0,3.0,./JOB-queries/32a.sql,7.07,3765.18,6.144,6.145,,,10.0,18.0,0.0,0.0
Index Scan,title,1,0,,./JOB-queries/32a.sql,0.43,0.49,0.0,0.0,,,,,,
Nested Loop,,10,0,4.0,./JOB-queries/32a.sql,7.5,3770.05,6.144,6.145,,title,10.0,1.0,0.0,0.0
Index Scan,title,1,0,,./JOB-queries/32a.sql,0.43,4.47,0.0,0.0,,,,,,
Nested Loop,,10,0,5.0,./JOB-queries/32a.sql,7.93,3814.77,6.144,6.145,,title,10.0,1.0,0.0,0.0
Aggregate,,1,1,,./JOB-queries/32a.sql,3814.84,3814.85,6.146,6.147,,,10.0,,0.0,
Seq Scan,role_type,1,1,,./JOB-queries/24a.sql,0.0,1.15,0.003,0.004,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/24a.sql,0.0,2.41,0.003,0.007,,,,,,
Seq Scan,keyword,3,3,,./JOB-queries/24a.sql,0.0,2793.84,0.005,12.245,,,,,,
Bitmap Index Scan,,303,3232,,./JOB-queries/24a.sql,0.0,6.71,1.366,1.366,,,,,,
Bitmap Heap Scan,movie_keyword,303,3232,,./JOB-queries/24a.sql,6.78,1103.88,1.979,522.742,,,303.0,,3232.0,
Nested Loop,,101,9696,1.0,./JOB-queries/24a.sql,6.78,6114.56,1.584,1581.402,keyword,movie_keyword,3.0,303.0,3.0,3232.0
Index Scan,title,1,0,,./JOB-queries/24a.sql,0.43,1.6,0.247,0.247,,,,,,
Nested Loop,,16,495,2.0,./JOB-queries/24a.sql,7.21,6276.47,4.412,3982.208,,title,101.0,1.0,9696.0,0.0
Index Scan,movie_companies,5,11,,./JOB-queries/24a.sql,0.43,3.32,0.215,0.299,,,,,,
Nested Loop,,17,5566,3.0,./JOB-queries/24a.sql,7.64,6330.66,5.131,4130.712,,movie_companies,16.0,5.0,495.0,11.0
Index Scan,company_name,1,0,,./JOB-queries/24a.sql,0.42,1.48,0.021,0.021,,,,,,
Nested Loop,,6,1576,4.0,./JOB-queries/24a.sql,8.06,6355.77,5.168,4250.051,,company_name,17.0,1.0,5566.0,0.0
Index Scan,movie_info,1,2,,./JOB-queries/24a.sql,0.43,26.43,0.354,0.838,,,,,,
Nested Loop,,1,3406,5.0,./JOB-queries/24a.sql,8.5,6514.45,5.413,5570.964,,movie_info,6.0,1.0,1576.0,2.0
Nested Loop,,1,3406,6.0,./JOB-queries/24a.sql,8.5,6516.87,5.416,5571.236,info_type,,1.0,1.0,1.0,3406.0
Index Scan,cast_info,1,4,,./JOB-queries/24a.sql,0.44,29.22,1.501,2.188,,,,,,
Nested Loop,,1,13758,7.0,./JOB-queries/24a.sql,8.94,6546.1,30.868,13023.995,,cast_info,1.0,1.0,3406.0,4.0
Nested Loop,,1,2778,8.0,./JOB-queries/24a.sql,8.94,6547.27,31.899,13024.505,role_type,,1.0,1.0,1.0,13758.0
Index Scan,name,1,0,,./JOB-queries/24a.sql,0.43,1.86,0.082,0.082,,,,,,
Nested Loop,,1,143,9.0,./JOB-queries/24a.sql,9.37,6549.13,781.733,13252.007,,name,1.0,1.0,2778.0,0.0
Index Scan,char_name,1,1,,./JOB-queries/24a.sql,0.43,1.75,0.115,0.115,,,,,,
Nested Loop,,1,141,10.0,./JOB-queries/24a.sql,9.8,6550.87,782.608,13268.557,,char_name,1.0,1.0,143.0,1.0
Index Only Scan,aka_name,2,2,,./JOB-queries/24a.sql,0.42,0.99,0.017,0.017,,,,,,
Nested Loop,,1,275,11.0,./JOB-queries/24a.sql,10.22,6551.89,1986.101,13271.033,,aka_name,1.0,2.0,141.0,2.0
Aggregate,,1,1,,./JOB-queries/24a.sql,6551.89,6551.9,13271.348,13271.349,,,1.0,,275.0,
Seq Scan,comp_cast_type,1,1,,./JOB-queries/28b.sql,0.0,1.05,0.007,0.007,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/28b.sql,0.0,2.41,0.004,0.008,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/28b.sql,0.0,2.41,0.005,0.006,,,,,,
Seq Scan,keyword,4,3,,./JOB-queries/28b.sql,0.0,2961.55,1.415,16.356,,,,,,
Bitmap Index Scan,,303,12364,,./JOB-queries/28b.sql,0.0,6.71,2.159,2.159,,,,,,
Bitmap Heap Scan,movie_keyword,303,12364,,./JOB-queries/28b.sql,6.78,1096.87,2.963,25170.836,,,303.0,,12364.0,
Nested Loop,,135,37091,1.0,./JOB-queries/28b.sql,6.78,7361.15,4.291,75531.557,keyword,movie_keyword,4.0,303.0,3.0,12364.0
Index Scan,movie_info_idx,1,1,,./JOB-queries/28b.sql,0.43,0.5,0.032,0.032,,,,,,
Nested Loop,,90,18701,2.0,./JOB-queries/28b.sql,7.21,7429.59,4.651,76719.789,,movie_info_idx,135.0,1.0,37091.0,1.0
Nested Loop,,1,11708,3.0,./JOB-queries/28b.sql,7.21,7433.13,4.656,76721.278,info_type,,1.0,90.0,1.0,18701.0
Index Scan,title,1,0,,./JOB-queries/28b.sql,0.43,0.49,0.271,0.271,,,,,,
Nested Loop,,1,2835,4.0,./JOB-queries/28b.sql,7.64,7433.62,5.226,79900.255,,title,1.0,1.0,11708.0,0.0
Seq Scan,kind_type,2,1,,./JOB-queries/28b.sql,0.0,1.09,0.0,0.001,,,,,,
Nested Loop,,1,2312,5.0,./JOB-queries/28b.sql,7.64,7434.73,6.113,79904.823,,kind_type,1.0,2.0,2835.0,1.0
Index Scan,movie_info,1,0,,./JOB-queries/28b.sql,0.43,1.49,3.007,3.292,,,,,,
Nested Loop,,1,364,6.0,./JOB-queries/28b.sql,8.07,7436.24,89.975,87516.567,,movie_info,1.0,1.0,2312.0,0.0
Nested Loop,,1,202,7.0,./JOB-queries/28b.sql,8.07,7438.66,89.98,87516.656,info_type,,1.0,1.0,1.0,364.0
Index Scan,movie_companies,1,14,,./JOB-queries/28b.sql,0.43,0.56,0.403,0.54,,,,,,
Nested Loop,,1,2799,8.0,./JOB-queries/28b.sql,8.5,7439.24,90.596,87626.1,,movie_companies,1.0,1.0,202.0,14.0
Index Scan,company_name,1,1,,./JOB-queries/28b.sql,0.42,0.55,0.054,0.054,,,,,,
Nested Loop,,1,2661,9.0,./JOB-queries/28b.sql,8.92,7439.79,90.616,87778.233,,company_name,1.0,1.0,2799.0,1.0
Seq Scan,company_type,4,1,,./JOB-queries/28b.sql,0.0,1.04,0.0,0.0,,,,,,
Nested Loop,,1,2661,10.0,./JOB-queries/28b.sql,8.92,7440.88,90.619,87780.456,,company_type,1.0,4.0,2661.0,1.0
Index Scan,complete_cast,2,1,,./JOB-queries/28b.sql,0.42,0.46,0.013,0.014,,,,,,
Nested Loop,,1,2056,11.0,./JOB-queries/28b.sql,9.34,7441.36,91.108,87817.886,,complete_cast,1.0,2.0,2661.0,1.0
Nested Loop,,1,240,12.0,./JOB-queries/28b.sql,9.34,7442.42,91.354,87817.995,comp_cast_type,,1.0,1.0,1.0,2056.0
Seq Scan,comp_cast_type,3,3,,./JOB-queries/28b.sql,0.0,1.05,0.0,0.0,,,,,,
Nested Loop,,1,148,13.0,./JOB-queries/28b.sql,9.34,7443.51,91.357,87818.25,,comp_cast_type,1.0,3.0,240.0,3.0
Aggregate,,1,1,,./JOB-queries/28b.sql,7443.52,7443.53,87818.463,87818.465,,,1.0,,148.0,
Seq Scan,info_type,1,1,,./JOB-queries/28c.sql,0.0,2.41,0.003,0.007,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/28c.sql,0.0,2.41,0.004,0.006,,,,,,
Seq Scan,company_type,4,4,,./JOB-queries/28c.sql,0.0,1.04,0.001,0.001,,,,,,
Seq Scan,comp_cast_type,1,1,,./JOB-queries/28c.sql,0.0,1.05,0.001,0.003,,,,,,
Seq Scan,comp_cast_type,1,1,,./JOB-queries/28c.sql,0.0,1.05,0.001,0.001,,,,,,
Seq Scan,keyword,4,3,,./JOB-queries/28c.sql,0.0,2961.55,2.086,13.7,,,,,,
Bitmap Index Scan,,303,12364,,./JOB-queries/28c.sql,0.0,6.71,1.309,1.309,,,,,,
Bitmap Heap Scan,movie_keyword,303,12364,,./JOB-queries/28c.sql,6.78,1096.87,2.091,1063.363,,,303.0,,12364.0,
Nested Loop,,135,37091,1.0,./JOB-queries/28c.sql,6.78,7361.15,3.633,3206.396,keyword,movie_keyword,4.0,303.0,3.0,12364.0
Index Scan,complete_cast,2,1,,./JOB-queries/28c.sql,0.42,0.46,0.004,0.005,,,,,,
Nested Loop,,188,20024,2.0,./JOB-queries/28c.sql,7.2,7425.41,6.379,3403.573,,complete_cast,135.0,2.0,37091.0,1.0
Nested Loop,,47,13808,3.0,./JOB-queries/28c.sql,7.2,7428.81,6.38,3405.029,comp_cast_type,,1.0,188.0,1.0,20024.0
Nested Loop,,12,6704,4.0,./JOB-queries/28c.sql,7.2,7430.44,6.491,3406.017,comp_cast_type,,1.0,47.0,1.0,13808.0
Index Scan,movie_companies,1,4,,./JOB-queries/28c.sql,0.43,0.56,0.32,0.38,,,,,,
Nested Loop,,3,24082,5.0,./JOB-queries/28c.sql,7.63,7437.33,7.434,5955.404,,movie_companies,12.0,1.0,6704.0,4.0
Index Scan,company_name,1,1,,./JOB-queries/28c.sql,0.42,0.55,0.008,0.008,,,,,,
Nested Loop,,2,22725,6.0,./JOB-queries/28c.sql,8.05,7438.98,7.579,6149.551,,company_name,3.0,1.0,24082.0,1.0
Materialize,,2,22725,,./JOB-queries/28c.sql,8.05,7438.99,1.896,1538.895,,,2.0,,22725.0,
Nested Loop,,2,22725,7.0,./JOB-queries/28c.sql,8.05,7440.14,7.584,6159.587,company_type,,4.0,2.0,4.0,22725.0
Index Scan,movie_info_idx,3,3,,./JOB-queries/28c.sql,0.43,0.5,0.005,0.006,,,,,,
Nested Loop,,6,66674,8.0,./JOB-queries/28c.sql,8.48,7441.2,7.693,6296.781,,movie_info_idx,2.0,3.0,22725.0,3.0
Nested Loop,,1,22516,9.0,./JOB-queries/28c.sql,8.48,7443.69,7.699,6299.448,info_type,,1.0,6.0,1.0,66674.0
Index Scan,title,1,0,,./JOB-queries/28c.sql,0.43,0.49,0.035,0.035,,,,,,
Nested Loop,,1,8489,10.0,./JOB-queries/28c.sql,8.91,7444.18,21.962,7079.938,,title,1.0,1.0,22516.0,0.0
Seq Scan,kind_type,2,1,,./JOB-queries/28c.sql,0.0,1.09,0.0,0.0,,,,,,
Nested Loop,,1,8156,11.0,./JOB-queries/28c.sql,8.91,7445.29,21.965,7086.822,,kind_type,1.0,2.0,8489.0,1.0
Index Scan,movie_info,2,1,,./JOB-queries/28c.sql,0.43,1.79,0.227,0.262,,,,,,
Nested Loop,,1,9489,12.0,./JOB-queries/28c.sql,9.34,7447.11,23.217,9224.264,,movie_info,1.0,2.0,8156.0,1.0
Nested Loop,,1,8373,13.0,./JOB-queries/28c.sql,9.34,7449.53,23.221,9224.851,info_type,,1.0,1.0,1.0,9489.0
Aggregate,,1,1,,./JOB-queries/28c.sql,7449.54,7449.55,9234.096,9234.098,,,1.0,,8373.0,
Seq Scan,keyword,1,1,,./JOB-queries/2c.sql,0.0,2626.12,0.896,6.871,,,,,,
Bitmap Index Scan,,303,41840,,./JOB-queries/2c.sql,0.0,6.71,3.446,3.447,,,,,,
Bitmap Heap Scan,movie_keyword,303,41840,,./JOB-queries/2c.sql,6.78,1117.89,4.465,1022.801,,,303.0,,41840.0,
Nested Loop,,34,41840,1.0,./JOB-queries/2c.sql,6.78,3747.04,5.363,1031.817,keyword,movie_keyword,1.0,303.0,1.0,41840.0
Index Scan,movie_companies,5,4,,./JOB-queries/2c.sql,0.43,0.54,0.026,0.039,,,,,,
Nested Loop,,167,148552,2.0,./JOB-queries/2c.sql,7.21,3767.05,5.588,2678.291,,movie_companies,34.0,5.0,41840.0,4.0
Index Scan,company_name,1,0,,./JOB-queries/2c.sql,0.42,0.45,0.004,0.004,,,,,,
Nested Loop,,1,0,3.0,./JOB-queries/2c.sql,7.63,3841.53,3214.863,3214.865,,company_name,167.0,1.0,148552.0,0.0
Index Scan,title,1,0,,./JOB-queries/2c.sql,0.43,0.49,0.0,0.0,,,,,,
Nested Loop,,1,0,4.0,./JOB-queries/2c.sql,8.06,3842.03,3214.863,3214.865,,title,1.0,1.0,0.0,0.0
Aggregate,,1,1,,./JOB-queries/2c.sql,3842.03,3842.04,3214.865,3214.867,,,1.0,,0.0,
Seq Scan,movie_info_idx,575015,460012,,./JOB-queries/12b.sql,0.0,13685.15,2.189,106.046,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/12b.sql,0.0,2.41,0.018,0.018,,,,,,
Hash,,1,1,,./JOB-queries/12b.sql,2.41,2.41,0.023,0.023,info_type,,1.0,,1.0,
Hash Join,,5089,3,1.0,./JOB-queries/12b.sql,2.43,15253.6,121.791,121.794,movie_info_idx,,575015.0,1.0,460012.0,1.0
Index Scan,title,1,0,,./JOB-queries/12b.sql,0.43,0.59,0.756,0.756,,,,,,
Nested Loop,,1,1,2.0,./JOB-queries/12b.sql,2.86,18232.82,123.899,124.316,,title,5089.0,1.0,3.0,0.0
Index Scan,movie_companies,5,16,,./JOB-queries/12b.sql,0.43,0.59,0.179,0.33,,,,,,
Nested Loop,,2,11,3.0,./JOB-queries/12b.sql,3.29,18233.47,123.974,124.538,,movie_companies,1.0,5.0,1.0,16.0
Index Scan,company_type,1,1,,./JOB-queries/12b.sql,0.13,0.15,0.001,0.001,,,,,,
Nested Loop,,1,11,4.0,./JOB-queries/12b.sql,3.42,18233.79,123.98,124.549,,company_type,2.0,1.0,11.0,1.0
Index Scan,company_name,1,0,,./JOB-queries/12b.sql,0.42,0.45,0.016,0.016,,,,,,
Nested Loop,,1,3,5.0,./JOB-queries/12b.sql,3.84,18234.23,123.988,124.723,,company_name,1.0,1.0,11.0,0.0
Index Scan,movie_info,40,121,,./JOB-queries/12b.sql,0.43,1.41,0.135,1.187,,,,,,
Nested Loop,,15,403,6.0,./JOB-queries/12b.sql,4.27,18236.15,124.198,128.71,,movie_info,1.0,40.0,3.0,121.0
Index Scan,info_type,1,0,,./JOB-queries/12b.sql,0.14,0.16,0.0,0.0,,,,,,
Nested Loop,,1,3,7.0,./JOB-queries/12b.sql,4.41,18238.6,124.998,128.886,,info_type,15.0,1.0,403.0,0.0
Gather,,1,10,,./JOB-queries/12b.sql,1004.41,19238.7,148.436,148.868,,,1.0,,3.0,
Aggregate,,1,1,,./JOB-queries/12b.sql,19238.71,19238.72,148.458,148.888,,,1.0,,10.0,
Seq Scan,movie_companies,7015,20555,,./JOB-queries/15a.sql,0.0,35097.06,1.273,478.643,,,,,,
Seq Scan,company_name,49543,28281,,./JOB-queries/15a.sql,0.0,4722.92,0.005,16.606,,,,,,
Hash,,49543,28281,,./JOB-queries/15a.sql,4722.92,4722.92,18.346,18.346,company_name,,49543.0,,28281.0,
Hash Join,,2514,14612,1.0,./JOB-queries/15a.sql,5342.21,40457.68,19.756,501.387,movie_companies,,7015.0,49543.0,20555.0,28281.0
Index Only Scan,aka_title,3,0,,./JOB-queries/15a.sql,0.42,0.67,0.001,0.001,,,,,,
Nested Loop,,1715,4566,2.0,./JOB-queries/15a.sql,5342.63,42205.08,20.572,524.052,,aka_title,2514.0,3.0,14612.0,0.0
Index Scan,title,1,0,,./JOB-queries/15a.sql,0.43,0.95,0.076,0.076,,,,,,
Nested Loop,,943,1711,3.0,./JOB-queries/15a.sql,5343.06,43830.78,21.406,873.973,,title,1715.0,1.0,4566.0,0.0
Index Scan,movie_info,1,0,,./JOB-queries/15a.sql,0.43,1.85,0.963,0.967,,,,,,
Nested Loop,,1,19,4.0,./JOB-queries/15a.sql,5343.49,45589.08,177.331,2529.245,,movie_info,943.0,1.0,1711.0,0.0
Index Only Scan,company_type,1,1,,./JOB-queries/15a.sql,0.13,0.15,0.001,0.001,,,,,,
Nested Loop,,1,19,5.0,./JOB-queries/15a.sql,5343.62,45589.23,177.345,2529.282,,company_type,1.0,1.0,19.0,1.0
Index Scan,info_type,1,1,,./JOB-queries/15a.sql,0.14,0.28,0.001,0.001,,,,,,
Nested Loop,,1,19,6.0,./JOB-queries/15a.sql,5343.77,45589.66,177.351,2529.314,,info_type,1.0,1.0,19.0,1.0
Index Scan,movie_keyword,47,6,,./JOB-queries/15a.sql,0.43,1.34,0.227,0.229,,,,,,
Nested Loop,,8,109,7.0,./JOB-queries/15a.sql,5344.2,45591.47,463.682,2533.686,,movie_keyword,1.0,47.0,19.0,6.0
Index Only Scan,keyword,1,1,,./JOB-queries/15a.sql,0.42,0.44,0.053,0.053,,,,,,
Nested Loop,,8,109,8.0,./JOB-queries/15a.sql,5344.62,45594.97,463.971,2539.494,,keyword,8.0,1.0,109.0,1.0
Aggregate,,1,1,,./JOB-queries/15a.sql,45595.01,45595.02,2539.598,2539.605,,,8.0,,109.0,
Gather,,2,3,,./JOB-queries/15a.sql,46595.01,46595.22,2541.236,2542.794,,,1.0,,1.0,
Aggregate,,1,1,,./JOB-queries/15a.sql,46595.23,46595.24,2541.402,2542.824,,,2.0,,3.0,
Seq Scan,aka_name,375560,300448,,./JOB-queries/9c.sql,0.0,15150.6,0.448,307.521,,,,,,
Seq Scan,name,8198,16670,,./JOB-queries/9c.sql,0.0,81660.18,814.187,1985.329,,,,,,
Hash,,8198,16670,,./JOB-queries/9c.sql,81660.18,81660.18,1990.01,1990.01,name,,8198.0,,16670.0,
Hash Join,,1773,3508,1.0,./JOB-queries/9c.sql,81762.66,97899.1,1990.927,2319.228,aka_name,,375560.0,8198.0,300448.0,16670.0
Index Scan,cast_info,12,1,,./JOB-queries/9c.sql,0.44,13.01,0.289,0.3,,,,,,
Nested Loop,,4068,2735,2.0,./JOB-queries/9c.sql,81763.1,121234.21,2007.085,3373.186,,cast_info,1773.0,12.0,3508.0,1.0
Seq Scan,role_type,1,1,,./JOB-queries/9c.sql,0.0,1.15,0.011,0.012,,,,,,
Hash,,1,1,,./JOB-queries/9c.sql,1.15,1.15,0.016,0.016,role_type,,1.0,,1.0,
Hash Join,,339,2735,3.0,./JOB-queries/9c.sql,81764.26,121249.82,2007.131,3373.555,,,4068.0,1.0,2735.0,1.0
Index Scan,char_name,1,1,,./JOB-queries/9c.sql,0.43,0.67,0.064,0.064,,,,,,
Nested Loop,,162,2575,4.0,./JOB-queries/9c.sql,81764.69,121478.62,2008.998,3550.01,,char_name,339.0,1.0,2735.0,1.0
Index Scan,movie_companies,5,2,,./JOB-queries/9c.sql,0.43,0.63,0.017,0.033,,,,,,
Nested Loop,,442,6115,5.0,./JOB-queries/9c.sql,81765.12,121589.05,2009.155,3634.82,,movie_companies,162.0,5.0,2575.0,2.0
Index Scan,company_name,1,0,,./JOB-queries/9c.sql,0.42,0.45,0.011,0.011,,,,,,
Nested Loop,,158,2715,6.0,./JOB-queries/9c.sql,81765.54,121786.16,2017.194,3699.995,,company_name,442.0,1.0,6115.0,0.0
Index Scan,title,1,1,,./JOB-queries/9c.sql,0.43,0.52,0.039,0.039,,,,,,
Nested Loop,,158,2715,7.0,./JOB-queries/9c.sql,81765.97,121869.74,2017.377,3807.627,,title,158.0,1.0,2715.0,1.0
Aggregate,,1,1,,./JOB-queries/9c.sql,121871.32,121871.33,3812.146,3812.148,,,158.0,,2715.0,
Gather,,2,3,,./JOB-queries/9c.sql,122871.32,122871.53,3815.64,3816.095,,,1.0,,1.0,
Aggregate,,1,1,,./JOB-queries/9c.sql,122871.55,122871.56,3815.66,3816.114,,,2.0,,3.0,
Seq Scan,title,10,2,,./JOB-queries/19b.sql,0.0,54429.54,347.506,857.742,,,,,,
Index Scan,movie_companies,1,1,,./JOB-queries/19b.sql,0.43,21.18,0.068,0.069,,,,,,
Nested Loop,,1,1,1.0,./JOB-queries/19b.sql,0.43,54641.4,774.38,857.908,title,movie_companies,10.0,1.0,2.0,1.0
Index Scan,cast_info,1,25,,./JOB-queries/19b.sql,0.44,31.03,0.52,21.748,,,,,,
Nested Loop,,1,33,2.0,./JOB-queries/19b.sql,0.87,54672.45,775.073,886.912,,cast_info,1.0,1.0,1.0,25.0
Index Only Scan,aka_name,2,3,,./JOB-queries/19b.sql,0.42,0.84,0.112,0.112,,,,,,
Nested Loop,,1,92,3.0,./JOB-queries/19b.sql,1.29,54673.31,775.285,890.647,,aka_name,1.0,2.0,33.0,3.0
Index Scan,role_type,1,0,,./JOB-queries/19b.sql,0.14,0.16,0.004,0.004,,,,,,
Memoize,,1,0,,./JOB-queries/19b.sql,0.15,0.17,0.001,0.001,role_type,,1.0,,0.0,
Nested Loop,,1,12,4.0,./JOB-queries/19b.sql,1.44,54673.48,785.146,890.731,,,1.0,1.0,92.0,0.0
Gather,,1,36,,./JOB-queries/19b.sql,1001.44,55673.58,732.165,887.948,,,1.0,,12.0,
Index Only Scan,char_name,1,1,,./JOB-queries/19b.sql,0.43,0.92,0.009,0.009,,,,,,
Nested Loop,,1,36,5.0,./JOB-queries/19b.sql,1001.87,55674.51,732.345,888.284,,char_name,1.0,1.0,36.0,1.0
Index Scan,company_name,1,1,,./JOB-queries/19b.sql,0.42,1.28,0.001,0.001,,,,,,
Nested Loop,,1,36,6.0,./JOB-queries/19b.sql,1002.29,55675.79,732.356,888.337,,company_name,1.0,1.0,36.0,1.0
Index Scan,movie_info,1,1,,./JOB-queries/19b.sql,0.43,21.2,0.06,0.233,,,,,,
Nested Loop,,1,36,7.0,./JOB-queries/19b.sql,1002.72,55697.0,733.919,896.734,,movie_info,1.0,1.0,36.0,1.0
Index Scan,info_type,1,1,,./JOB-queries/19b.sql,0.14,0.17,0.001,0.001,,,,,,
Nested Loop,,1,36,8.0,./JOB-queries/19b.sql,1002.87,55697.2,733.924,896.762,,info_type,1.0,1.0,36.0,1.0
Index Scan,name,1,0,,./JOB-queries/19b.sql,0.43,1.58,0.119,0.119,,,,,,
Nested Loop,,1,15,9.0,./JOB-queries/19b.sql,1003.3,55698.79,895.822,901.063,,name,1.0,1.0,36.0,0.0
Aggregate,,1,1,,./JOB-queries/19b.sql,55698.8,55698.81,901.054,901.07,,,1.0,,15.0,
Seq Scan,title,733817,582984,,./JOB-queries/23c.sql,0.0,49162.53,0.015,735.721,,,,,,
Seq Scan,complete_cast,135086,135086,,./JOB-queries/23c.sql,0.0,2081.86,0.158,27.022,,,,,,
Seq Scan,comp_cast_type,1,1,,./JOB-queries/23c.sql,0.0,1.05,0.011,0.011,,,,,,
Hash,,1,1,,./JOB-queries/23c.sql,1.05,1.05,0.012,0.013,comp_cast_type,,1.0,,1.0,
Hash Join,,33772,24592,1.0,./JOB-queries/23c.sql,1.06,2813.24,0.178,34.025,complete_cast,,135086.0,1.0,135086.0,1.0
Hash,,33772,24592,,./JOB-queries/23c.sql,2813.24,2813.24,35.553,35.554,,,33772.0,,24592.0,
Hash Join,,9802,2141,2.0,./JOB-queries/23c.sql,3235.39,55247.76,35.885,812.767,title,,733817.0,33772.0,582984.0,24592.0
Seq Scan,kind_type,4,4,,./JOB-queries/23c.sql,0.0,1.1,0.012,0.013,,,,,,
Hash,,4,4,,./JOB-queries/23c.sql,1.1,1.1,0.016,0.016,kind_type,,4.0,,4.0,
Hash Join,,5601,1684,3.0,./JOB-queries/23c.sql,3236.54,55290.22,539.265,813.19,,,9802.0,4.0,2141.0,4.0
Index Scan,movie_info,1,0,,./JOB-queries/23c.sql,0.43,1.85,1.666,1.667,,,,,,
Nested Loop,,3,2,4.0,./JOB-queries/23c.sql,3236.98,65681.82,2685.934,3620.976,,movie_info,5601.0,1.0,1684.0,0.0
Index Scan,info_type,1,1,,./JOB-queries/23c.sql,0.14,0.22,0.116,0.116,,,,,,
Memoize,,1,1,,./JOB-queries/23c.sql,0.15,0.23,0.042,0.042,info_type,,1.0,,1.0,
Nested Loop,,1,2,5.0,./JOB-queries/23c.sql,3237.13,65682.56,2686.018,3621.065,,,3.0,1.0,2.0,1.0
Index Scan,movie_companies,5,1,,./JOB-queries/23c.sql,0.43,0.57,0.276,0.313,,,,,,
Nested Loop,,1,2,6.0,./JOB-queries/23c.sql,3237.56,65683.18,2686.514,3621.694,,movie_companies,1.0,5.0,2.0,1.0
Index Scan,company_name,1,1,,./JOB-queries/23c.sql,0.42,0.45,0.319,0.319,,,,,,
Nested Loop,,1,2,7.0,./JOB-queries/23c.sql,3237.98,65683.63,2686.703,3622.441,,company_name,1.0,1.0,2.0,1.0
Index Only Scan,company_type,1,1,,./JOB-queries/23c.sql,0.13,0.15,0.125,0.125,,,,,,
Nested Loop,,1,2,8.0,./JOB-queries/23c.sql,3238.11,65683.78,2686.996,3622.739,,company_type,1.0,1.0,2.0,1.0
Index Scan,movie_keyword,47,90,,./JOB-queries/23c.sql,0.43,1.32,0.265,0.44,,,,,,
Nested Loop,,2,209,9.0,./JOB-queries/23c.sql,3238.54,65685.58,2687.291,3623.78,,movie_keyword,1.0,47.0,2.0,90.0
Index Only Scan,keyword,1,1,,./JOB-queries/23c.sql,0.42,0.44,0.028,0.028,,,,,,
Nested Loop,,2,209,10.0,./JOB-queries/23c.sql,3238.96,65686.45,2687.494,3629.758,,keyword,2.0,1.0,209.0,1.0
Aggregate,,1,1,,./JOB-queries/23c.sql,65686.46,65686.47,3629.852,3629.86,,,2.0,,209.0,
Gather,,2,3,,./JOB-queries/23c.sql,66686.46,66686.67,3631.233,3633.959,,,1.0,,1.0,
Aggregate,,1,1,,./JOB-queries/23c.sql,66686.68,66686.69,3631.791,3633.973,,,2.0,,3.0,
